rank,uid,nickname,company,net_value,equity,net_profit,profit_rate,max_drawdown,credit_score,total_fee,option_profit,start_date,update_date,start_equity,source
73,42324,福州数为,中州期货,1.054,482200.0,47600.0,5.4,21.22,57.6,5623.98,615.5,2026-01-09,2026-02-24,566000.0,niumoney
74,40850,九地HA,华安期货,0.7202,11000.0,-4284.37,-27.98,44.26,69.38,631.06,519.0,2026-01-05,2026-02-12,15100.0,niumoney
75,42100,简一,华安期货,0.7728,102000.0,-15000.0,-22.72,53.73,69.36,3428.14,488.0,2026-01-06,2026-02-24,85100.0,niumoney
76,38037,追随白希候,徽商期货,1.7087,502600.0,288700.0,70.87,42.53,71.67,14775.99,383.99,2026-01-05,2026-02-25,337299.99999999994,niumoney
77,42293,段力铭8,光大期货,0.9562,253700.0,-37700.0,-4.38,21.89,75.75,7.56,281.26,2026-01-05,2026-02-24,151600.0,niumoney
78,42310,段力铭9,华安期货,1.1544,293700.0,34600.0,15.44,20.19,89.44,22.68,276.0,2026-01-05,2026-02-24,132900.0,niumoney
79,40221,小吴-常州,长安期货,1.2941,13100.0,3028.83,29.41,5.18,91.46,18.59,262.5,2026-01-06,2026-02-13,10700.0,niumoney
80,37101,聚一峰,申银万国,0.5405,144000.0,-8231.88,-45.95,65.31,19.71,17634.97,222.56,2026-01-05,2026-02-25,710000.0,niumoney
81,42280,段力铭3,东航期货,1.3042,283500.0,61000.0,30.42,19.24,92.07,22.68,172.8,2026-01-05,2026-02-24,171500.0,niumoney
82,40438,花猫,创元期货,0.5888,3414.5,-2971.18,-41.12,84.54,67.1,127.57,156.21,2026-01-05,2026-02-24,6885.68,niumoney
83,34772,一块二,安粮期货,1.0,130.04,0.0,0.0,0.0,0.0,50.77,130.77,2026-02-25,2026-02-25,260.81,niumoney
84,41682,卡市的龙,金谷期货,1.006,4118900.0,24500.0,0.6,9.54,56.76,1527.82,116.28,2026-01-05,2026-02-24,4250100.0,niumoney
85,41616,夜夜有妹,方正中期,4.6336,23.97,-2113.57,363.36,74.91,90.68,95.72,112.76,2026-01-05,2026-02-13,1753.54,niumoney
86,42278,段力铭2,鲁证期货,1.0598,193400.0,24300.0,5.98,18.9,87.55,22.68,109.33,2026-01-05,2026-02-24,151500.0,niumoney
87,42292,段力铭7,金汇期货,1.4414,303400.0,27500.0,44.14,16.55,93.61,15.12,104.12,2026-01-05,2026-02-24,151500.0,niumoney
88,40064,再见了队长,安粮期货,1.1306,18500.0,-3296.03,13.06,20.86,84.23,193.96,104.0,2026-01-05,2026-02-13,15400.0,niumoney
89,40742,趋势冲浪,徽商期货,1.6248,180300.0,85200.0,62.48,21.64,94.71,1014.3000000000001,84.85,2026-01-06,2026-02-24,55100.0,niumoney
90,42103,冲锋号1号,渤海期货,0.9025,26700.0,-2882.98,-9.75,9.85,76.43,26.65,83.67,2026-01-05,2026-02-24,29600.0,niumoney
91,41926,Quenson_7se,长江期货,0.7388,12800.0,-4515.69,-26.12,30.74,70.36,392.21,82.27,2026-01-05,2026-02-24,17300.0,niumoney
92,40995,交易要,招金期货,1.4378,14000.0,102600.0,43.78,27.51,72.35,293.84,58.62,2026-01-05,2026-02-24,1341600.0,niumoney
93,42281,段力铭4,中信建投,1.3935,194600.0,55599.99999999999,39.35,14.78,93.35,22.68,55.09,2026-01-06,2026-02-13,151500.0,niumoney
94,40885,三棵树,安粮期货,31.7872,8870.73,8118.22,3078.72,14.66,97.16,158.25,43.0,2026-01-05,2026-02-24,10400.0,niumoney
95,42111,鲨鱼的吻,渤海期货,1.6767,17100.0,6855.11,67.67,21.55,93.49,69.25,36.42,2026-01-05,2026-02-24,4430.99,niumoney
96,42282,段力铭5,徽商期货,1.0046,293400.0,-63099.99999999999,0.46,22.08,78.01,22.68,28.87,2026-01-05,2026-02-24,151500.0,niumoney
97,41935,追梦方寸山,华融期货,0.4646,345.52,-406.81,-53.54,53.56,67.46,0.0,7.61,2026-01-06,2026-02-13,759.83,niumoney
